Question #,Question,Type,Option 1,Option 2,Required
1,Teknik yazılardan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
2,İştahım iyidir,Multiple choice,Evet,Hayır,TRUE
3,Çok defa sabahları dinç ve dinlenmiş olarak uyanırım,Multiple choice,Evet,Hayır,TRUE
4,Kütüphaneci olarak çalışmayı seveceğimi sanıyorum,Multiple choice,Evet,Hayır,TRUE
5,Gürültüden kolayca uyanırım,Multiple choice,Evet,Hayır,TRUE
6,Cinayet haberlerini okumaktan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
7,Çoğu zaman el ve ayaklarımın sıcaklığı iyidir,Multiple choice,Evet,Hayır,TRUE
8,Günlük hayatım beni ilgilendirecek şeylerle doludur,Multiple choice,Evet,Hayır,TRUE
9,Bugün de hemen hemen eskisi kadar iyi çalışabiliyorum,Multiple choice,Evet,Hayır,TRUE
10,Çoğu zaman boğazım tıkanır gibi olur,Multiple choice,Evet,Hayır,TRUE
11,İnsan rüyalarını anlamaya çalışmalı ve kendini onlara göre ayarlamalıdır,Multiple choice,Evet,Hayır,TRUE
12,Polis romanlarından ya da esrarengiz romanlardan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
13,Büyük bir sinir gerginliği içinde çalışırım,Multiple choice,Evet,Hayır,TRUE
14,Ayda bir iki defa ishal olurum,Multiple choice,Evet,Hayır,TRUE
15,Ara sıra söylenemeyecek kadar ayıp şeyler düşünürüm,Multiple choice,Evet,Hayır,TRUE
16,Hayatta kötülükler hep beni bulur,Multiple choice,Evet,Hayır,TRUE
17,Babam iyi bir adamdır,Multiple choice,Evet,Hayır,TRUE
18,Pek seyrek kabız olurum,Multiple choice,Evet,Hayır,TRUE
19,Yeni bir işe girince kimin gözüne girme gerektiğini öğrenmek isterim,Multiple choice,Evet,Hayır,TRUE
20,Cinsel yaşamımdan memnunum,Multiple choice,Evet,Hayır,TRUE
21,Zaman zaman evi bırakıp gitmek istemişimdir,Multiple choice,Evet,Hayır,TRUE
22,Ara sıra kontrol edemediğim gülme ve ağlama nöbetlerine tutulurum,Multiple choice,Evet,Hayır,TRUE
23,Tekrarlanan mide bulantısı ve kusmalar bana sıkıntı verir,Multiple choice,Evet,Hayır,TRUE
24,Kimse beni anlamıyor,Multiple choice,Evet,Hayır,TRUE
25,Şarkici olmayı isterim,Multiple choice,Evet,Hayır,TRUE
26,Başım derde girince susmayı tercih ederim,Multiple choice,Evet,Hayır,TRUE
27,Bazen kötü ruhların beni etkileri altına aldıklarını hissederim,Multiple choice,Evet,Hayır,TRUE
28,Kötülüğe kötülükle karşılık vermem prensibimdir,Multiple choice,Evet,Hayır,TRUE
29,Çoğu kez midem ekşir,Multiple choice,Evet,Hayır,TRUE
30,Bazen canim küfretmek ister,Multiple choice,Evet,Hayır,TRUE
31,Sık sık geceleri kabus geçiririm,Multiple choice,Evet,Hayır,TRUE
32,Zihnimi bir iş üzerinde toplamada güçlük çekerim,Multiple choice,Evet,Hayır,TRUE
33,Başımdan çok garip ve tuhaf şeyler geçti,Multiple choice,Evet,Hayır,TRUE
34,Çoğu zaman öksürüğüm vardır,Multiple choice,Evet,Hayır,TRUE
35,Başkaları engel olmasaydı daha çok başarılı olurdum,Multiple choice,Evet,Hayır,TRUE
36,Sağlığım beni pek kaygılandırmaz,Multiple choice,Evet,Hayır,TRUE
37,Cinsel yaşamım yüzünden başım hiç derde girmedi,Multiple choice,Evet,Hayır,TRUE
38,Gençliğimde bir devre ufak tefek şeyler çaldım,Multiple choice,Evet,Hayır,TRUE
39,Bazen içimde bir şeyler kırmak isteği geçer,Multiple choice,Evet,Hayır,TRUE
40,Başka bir şey yapmaktansa çoğu zaman oturup hayal kurmayı severim,Multiple choice,Evet,Hayır,TRUE
41,"Kendimi toparlayamadığım için günler, haftalar, hatta aylarca hiçbir şeye el sürmediğim olur",Multiple choice,Evet,Hayır,TRUE
42,Ailem seçtiğim veya seçmek istediğim mesleği beğenmiyor,Multiple choice,Evet,Hayır,TRUE
43,Kuşkulu ve rahatsız uyurum,Multiple choice,Evet,Hayır,TRUE
44,Çoğu zaman başımın her tarafı ağrır,Multiple choice,Evet,Hayır,TRUE
45,Her zaman doğruyu söylemem,Multiple choice,Evet,Hayır,TRUE
46,Şimdi her zamankinden daha iyi düşünüp tartabiliyorum,Multiple choice,Evet,Hayır,TRUE
47,Ortada hiç bir neden yokken haftada bir ya da daha sık birdenbire her yanımı ateş basar,Multiple choice,Evet,Hayır,TRUE
48,Başkaları ile bir arada iken kulağıma çok garip şeyler gelmesinden rahatsız olurum 3,Multiple choice,Evet,Hayır,TRUE
49,Kanunların hemen hepsi kaldırılsa daha iyi olur,Multiple choice,Evet,Hayır,TRUE
50,Bazen ruhum vücudumdan ayrılır,Multiple choice,Evet,Hayır,TRUE
51,Sağlığım bir çok arkadaşımınki kadar iyidir,Multiple choice,Evet,Hayır,TRUE
52,Uzun zamandan beri görmediğim okul arkadaşlarım ya da tanıdıklarım önce benimle konuşmazlarsa onları görmemezlikten gelmeyi tercih ederim,Multiple choice,Evet,Hayır,TRUE
53,Hocaların dua okuyup üflemesi hastalığı iyileştirir,Multiple choice,Evet,Hayır,TRUE
54,Tanıdıklarımın çoğu beni sever,Multiple choice,Evet,Hayır,TRUE
55,Kalp ve göğüs ağrılarından hemen hemen hiç şikayetim yoktur,Multiple choice,Evet,Hayır,TRUE
56,Çocukken okuldan kaçtığım için bir iki defa cezalandırıldım,Multiple choice,Evet,Hayır,TRUE
57,İnsanlarla çabucak kaynaşırım,Multiple choice,Evet,Hayır,TRUE
58,Kuran' ın buyurdukları bir bir çıkmaktadır,Multiple choice,Evet,Hayır,TRUE
59,Çok defa benden az bilenlerden emir alarak çalışmak zorunda kaldım,Multiple choice,Evet,Hayır,TRUE
60,Her gün gazetelerin baş yazılarını okumam,Multiple choice,Evet,Hayır,TRUE
61,Gerektiği gibi bir hayat yaşayamadım,Multiple choice,Evet,Hayır,TRUE
62,"Vücudumun bazı yerlerinde çok defa yanma, gıdıklanma, karıncalanma veya uyuşukluk hissederim",Multiple choice,Evet,Hayır,TRUE
63,Büyük abdest yapmada ya da tutmada hiç bir güçlük çekmem,Multiple choice,Evet,Hayır,TRUE
64,Bazen başkalarının sabrını tüketecek kadar bir şeye saplanır kalırım,Multiple choice,Evet,Hayır,TRUE
65,Babamı severim,Multiple choice,Evet,Hayır,TRUE
66,"Etrafımda başkalarının görmediği eşya, hayvanlar veya insanlar görürüm",Multiple choice,Evet,Hayır,TRUE
67,Başkalarının mutlu göründüğü kadar mutlu olmayı isterdim,Multiple choice,Evet,Hayır,TRUE
68,Ensemde nadiren ağrı hissederim,Multiple choice,Evet,Hayır,TRUE
69,Kendi cinsimden olanları oldukça çekici bulurum,Multiple choice,Evet,Hayır,TRUE
70,Körebe oyunundan hoşlanırdım,Multiple choice,Evet,Hayır,TRUE
71,Birçok kimseler başkalarının ilgi ve yardımlarını sağlamak için talihsizliklerini abartırlar,Multiple choice,Evet,Hayır,TRUE
